CustomerID,AcqChannel,Device,MacroRegion,MicroZone,PrimaryGoal,LoyaltyTier,RewardPoints,ProjectedLTV,CustomerReturnRatePct
CUST-0111,Paid Social,Android App,South,Zone-3,Weight Loss,Bronze,3264,579.71,0.0
CUST-0112,Paid Social,Android App,North,Zone-1,Weight Loss,Gold,747,1367.7,8.0
CUST-0113,Paid Social,iOS App,East,Zone-7,Muscle Gain,Silver,1017,853.83,0.0
CUST-0114,Organic,iOS App,East,Zone-8,Endurance,Bronze,3817,692.63,0.0
CUST-0115,Paid Social,Mobile Web,North,Zone-9,Endurance,Bronze,1192,1214.44,9.0
CUST-0116,Paid Social,iOS App,North,Zone-7,Weight Loss,Bronze,2033,809.08,10.0
CUST-0117,Paid Social,Android App,North,Zone-3,General Health,Bronze,1425,1725.61,0.0
CUST-0118,Organic,Android App,North,Zone-9,General Health,Bronze,1470,879.5,0.0
CUST-0119,Search,iOS App,South,Zone-9,Weight Loss,Bronze,2625,1501.85,0.0
CUST-0120,Organic,iOS App,South,Zone-7,Weight Loss,Bronze,1987,501.68,12.0
CUST-0121,Organic,Android App,South,Zone-5,Muscle Gain,Bronze,1009,1375.3,11.0
CUST-0122,Paid Social,Desktop,West,Zone-5,Weight Loss,Silver,3763,1944.27,0.0
CUST-0123,Paid Social,Android App,North,Zone-6,General Health,Bronze,4541,938.53,8.0
CUST-0124,Organic,iOS App,North,Zone-9,Muscle Gain,Silver,1851,2179.47,0.0
CUST-0125,Paid Social,iOS App,South,Zone-5,Muscle Gain,Gold,561,1209.44,20.0
CUST-0126,Organic,Android App,East,Zone-9,Weight Loss,Bronze,4963,1190.63,9.0
CUST-0127,Search,Mobile Web,North,Zone-8,General Health,Silver,3925,750.94,10.0
CUST-0128,Paid Social,Android App,South,Zone-4,Weight Loss,Bronze,787,1206.63,0.0
CUST-0129,Organic,Android App,East,Zone-9,Weight Loss,Bronze,1619,784.74,9.0
CUST-0130,Search,iOS App,East,Zone-5,Endurance,Bronze,2572,563.13,14.0
CUST-0131,Search,Desktop,South,Zone-9,Muscle Gain,Gold,2173,821.42,7.0
CUST-0132,Search,iOS App,South,Zone-1,Muscle Gain,Bronze,2463,1125.5,10.0
CUST-0133,Organic,Android App,North,Zone-8,General Health,Silver,2119,228.11,0.0
CUST-0134,Organic,iOS App,West,Zone-6,Endurance,Bronze,3346,747.27,0.0
CUST-0135,Search,Android App,East,Zone-2,Muscle Gain,Silver,4474,1643.84,8.0
CUST-0136,Organic,Android App,South,Zone-9,Muscle Gain,Bronze,2247,1607.95,0.0
CUST-0137,Search,iOS App,East,Zone-3,Endurance,Bronze,3418,1011.69,0.0
CUST-0138,Organic,Android App,South,Zone-4,Muscle Gain,Bronze,4175,673.82,11.0
CUST-0139,Organic,Android App,North,Zone-4,General Health,Bronze,2295,629.69,29.0
CUST-0140,Paid Social,Desktop,South,Zone-7,Endurance,Gold,1517,1257.78,10.0
CUST-0141,Search,Mobile Web,South,Zone-7,General Health,Bronze,35,1054.41,7.0
CUST-0142,Organic,Desktop,South,Zone-3,Muscle Gain,Gold,2077,648.71,15.0
CUST-0143,Organic,iOS App,North,Zone-4,Endurance,Gold,599,778.57,8.0
CUST-0144,Organic,Android App,South,Zone-7,Muscle Gain,Bronze,3676,1749.62,0.0
CUST-0145,Organic,iOS App,East,Zone-7,Weight Loss,Bronze,3654,673.35,0.0
CUST-0146,Paid Social,iOS App,North,Zone-3,Muscle Gain,Bronze,1154,1131.53,0.0
CUST-0147,Influencer,Desktop,North,Zone-1,General Health,Bronze,3814,323.32,0.0
CUST-0148,Search,iOS App,West,Zone-1,Endurance,Bronze,1864,1117.27,7.0
CUST-0149,Paid Social,Desktop,North,Zone-7,Muscle Gain,Silver,4417,1102.88,0.0
CUST-0150,Search,iOS App,East,Zone-5,General Health,Bronze,3696,1434.51,0.0
CUST-0151,Search,iOS App,West,Zone-1,General Health,Bronze,4662,1571.01,8.0
CUST-0152,Organic,Android App,North,Zone-8,Muscle Gain,Bronze,1723,1038.63,0.0
CUST-0153,Paid Social,iOS App,South,Zone-7,Weight Loss,Bronze,4059,2102.36,0.0
CUST-0154,Paid Social,Android App,East,Zone-1,Weight Loss,Bronze,2227,461.28,0.0
CUST-0155,Paid Social,Android App,East,Zone-6,Muscle Gain,Bronze,3260,991.28,0.0
CUST-0156,Paid Social,iOS App,North,Zone-2,General Health,Silver,784,1137.74,8.0
CUST-0157,Search,iOS App,East,Zone-9,General Health,Bronze,4705,631.16,0.0
CUST-0158,Organic,Android App,South,Zone-3,Weight Loss,Silver,3719,813.28,0.0
CUST-0159,Influencer,Android App,East,Zone-2,Weight Loss,Bronze,4199,935.78,0.0
CUST-0160,Paid Social,iOS App,West,Zone-5,General Health,Bronze,2336,755.68,0.0
CUST-0161,Organic,iOS App,South,Zone-3,Muscle Gain,Silver,255,1531.96,0.0
CUST-0162,Paid Social,iOS App,East,Zone-7,Endurance,Gold,4947,1214.41,6.0
CUST-0163,Paid Social,Android App,West,Zone-7,Weight Loss,Bronze,1642,1756.66,0.0
CUST-0164,Influencer,iOS App,East,Zone-2,Muscle Gain,Silver,167,575.54,14.0
CUST-0165,Paid Social,iOS App,East,Zone-6,Muscle Gain,Bronze,3789,2030.67,15.0
CUST-0166,Paid Social,Desktop,West,Zone-3,Weight Loss,Bronze,2133,1232.27,0.0
CUST-0167,Organic,iOS App,South,Zone-2,Endurance,Silver,2037,388.46,25.0
CUST-0168,Paid Social,Mobile Web,South,Zone-2,Weight Loss,Bronze,1111,1865.77,0.0
CUST-0169,Organic,Android App,North,Zone-3,Muscle Gain,Bronze,901,1271.66,9.0
CUST-0170,Search,iOS App,North,Zone-3,Endurance,Bronze,84,742.55,0.0
CUST-0171,Paid Social,Desktop,West,Zone-6,Muscle Gain,Silver,102,603.65,0.0
CUST-0172,Paid Social,Android App,West,Zone-9,Weight Loss,Bronze,3518,1380.66,0.0
CUST-0173,Paid Social,Desktop,West,Zone-8,General Health,Bronze,2690,835.7,8.0
CUST-0174,Search,Desktop,South,Zone-3,Weight Loss,Bronze,2356,887.72,10.0
CUST-0175,Organic,Android App,West,Zone-7,Muscle Gain,Silver,2600,595.19,15.0
CUST-0176,Paid Social,Android App,North,Zone-8,Muscle Gain,Bronze,2556,2449.76,0.0
CUST-0177,Search,Desktop,East,Zone-2,Muscle Gain,Bronze,667,501.53,10.0
CUST-0178,Organic,Desktop,East,Zone-3,Muscle Gain,Bronze,1316,573.24,0.0
CUST-0179,Search,Desktop,North,Zone-5,Endurance,Bronze,4448,1040.66,9.0
CUST-0180,Search,Desktop,North,Zone-1,General Health,Silver,2990,1120.62,10.0
CUST-0181,Organic,Mobile Web,South,Zone-9,Muscle Gain,Bronze,4375,1842.82,0.0
CUST-0182,Organic,Android App,South,Zone-5,General Health,Bronze,3930,750.25,0.0
CUST-0183,Paid Social,iOS App,West,Zone-4,Muscle Gain,Bronze,4609,691.49,14.0
CUST-0184,Organic,Mobile Web,North,Zone-8,General Health,Bronze,3016,802.03,0.0
CUST-0185,Search,Desktop,South,Zone-6,General Health,Bronze,3606,1859.04,0.0
CUST-0186,Paid Social,Desktop,North,Zone-6,General Health,Gold,1840,657.22,14.0
CUST-0187,Influencer,iOS App,North,Zone-6,Weight Loss,Bronze,2808,913.68,25.0
CUST-0188,Search,Android App,South,Zone-2,Muscle Gain,Bronze,3809,514.54,14.0
CUST-0189,Search,Desktop,East,Zone-9,General Health,Bronze,4252,2099.62,7.0
CUST-0190,Search,Desktop,South,Zone-8,General Health,Bronze,3383,1636.09,0.0
CUST-0191,Organic,iOS App,East,Zone-3,Weight Loss,Silver,3423,1264.88,0.0
CUST-0192,Paid Social,Desktop,West,Zone-2,General Health,Silver,1333,1410.09,0.0
CUST-0193,Search,Desktop,South,Zone-4,Endurance,Bronze,1813,1413.52,0.0
CUST-0194,Organic,iOS App,West,Zone-9,General Health,Bronze,1518,1478.38,11.0
CUST-0195,Search,Android App,North,Zone-7,Weight Loss,Gold,1711,901.56,22.0
CUST-0196,Organic,Android App,East,Zone-9,Endurance,Bronze,4125,339.8,0.0
CUST-0197,Paid Social,iOS App,West,Zone-4,Endurance,Silver,1086,1651.48,0.0
CUST-0198,Paid Social,iOS App,North,Zone-7,Endurance,Silver,3663,564.36,0.0
CUST-0199,Search,iOS App,South,Zone-8,Endurance,Silver,1679,462.09,0.0
CUST-0200,Paid Social,iOS App,North,Zone-6,Weight Loss,Bronze,3215,515.15,9.0
CUST-0201,Search,iOS App,East,Zone-3,Endurance,Silver,3916,1284.82,0.0
CUST-0202,Search,iOS App,North,Zone-6,Endurance,Bronze,1762,401.75,0.0
CUST-0203,Search,Android App,East,Zone-8,Endurance,Silver,3814,1632.68,9.0
CUST-0204,Organic,Desktop,South,Zone-2,Muscle Gain,Bronze,4747,919.43,11.0
CUST-0205,Organic,Android App,West,Zone-5,Muscle Gain,Silver,4579,834.17,8.0
CUST-0206,Paid Social,Desktop,East,Zone-3,General Health,Bronze,399,1630.12,0.0
CUST-0207,Organic,iOS App,East,Zone-1,Weight Loss,Bronze,480,899.16,10.0
CUST-0208,Paid Social,Android App,South,Zone-2,Muscle Gain,Bronze,1175,1501.07,8.0
CUST-0209,Search,Desktop,North,Zone-9,General Health,Silver,2676,698.9,0.0
CUST-0210,Paid Social,iOS App,West,Zone-1,Endurance,Bronze,1364,776.31,0.0
CUST-0211,Organic,Mobile Web,East,Zone-1,General Health,Bronze,2525,541.74,0.0
CUST-0212,Organic,iOS App,North,Zone-3,General Health,Bronze,327,666.41,0.0
CUST-0213,Paid Social,Desktop,West,Zone-6,General Health,Bronze,3273,375.43,0.0
CUST-0214,Organic,Mobile Web,West,Zone-1,Muscle Gain,Bronze,4457,1577.73,0.0
CUST-0215,Paid Social,Android App,East,Zone-3,Endurance,Silver,3275,1610.15,0.0
CUST-0216,Paid Social,iOS App,North,Zone-1,General Health,Bronze,2010,608.72,0.0
CUST-0217,Influencer,Desktop,East,Zone-5,Endurance,Bronze,3545,775.75,33.0
CUST-0218,Search,Android App,North,Zone-1,Weight Loss,Bronze,1437,744.16,8.0
CUST-0219,Organic,Android App,West,Zone-2,Weight Loss,Bronze,2590,1003.71,25.0
CUST-0220,Paid Social,Android App,South,Zone-4,Weight Loss,Bronze,3571,1491.22,0.0
CUST-0221,Organic,iOS App,North,Zone-1,General Health,Bronze,4567,595.82,0.0
CUST-0222,Organic,Desktop,South,Zone-5,Muscle Gain,Bronze,504,367.13,0.0
CUST-0223,Paid Social,Desktop,North,Zone-5,Endurance,Bronze,3397,1012.2,10.0
CUST-0224,Paid Social,iOS App,North,Zone-8,Endurance,Bronze,2287,1392.47,0.0
CUST-0225,Paid Social,Android App,South,Zone-5,General Health,Bronze,1477,359.33,20.0
CUST-0226,Organic,Desktop,East,Zone-7,General Health,Bronze,3960,550.45,0.0
CUST-0227,Organic,iOS App,South,Zone-2,Endurance,Silver,3399,352.03,20.0
CUST-0228,Paid Social,iOS App,West,Zone-5,General Health,Bronze,3198,1126.97,7.0
CUST-0229,Search,iOS App,North,Zone-1,Muscle Gain,Silver,4711,849.05,0.0
CUST-0230,Paid Social,Android App,East,Zone-9,Endurance,Bronze,4649,978.0,8.0
CUST-0231,Influencer,iOS App,East,Zone-7,General Health,Bronze,841,451.93,27.0
CUST-0232,Paid Social,iOS App,West,Zone-3,Muscle Gain,Bronze,1237,1252.68,10.0
CUST-0233,Organic,iOS App,South,Zone-5,Weight Loss,Gold,913,1202.15,0.0
CUST-0234,Organic,Android App,South,Zone-2,General Health,Silver,2359,724.97,0.0
CUST-0235,Paid Social,Android App,East,Zone-1,Endurance,Silver,1631,747.57,0.0
CUST-0236,Organic,Desktop,South,Zone-3,Endurance,Gold,4099,1386.92,8.0
CUST-0237,Paid Social,iOS App,East,Zone-4,Muscle Gain,Bronze,1863,2049.04,0.0
CUST-0238,Paid Social,Android App,East,Zone-1,General Health,Bronze,1232,710.5,11.0
CUST-0239,Paid Social,Android App,North,Zone-9,Weight Loss,Bronze,3125,762.73,0.0
CUST-0240,Paid Social,iOS App,East,Zone-3,Endurance,Bronze,1389,830.36,12.0
CUST-0241,Paid Social,Android App,North,Zone-9,General Health,Bronze,3920,542.15,0.0
CUST-0242,Influencer,Android App,North,Zone-9,General Health,Gold,4069,854.32,8.0
CUST-0243,Organic,Android App,North,Zone-9,General Health,Bronze,4541,985.46,0.0
CUST-0244,Organic,Desktop,South,Zone-3,Muscle Gain,Bronze,2306,696.02,0.0
CUST-0245,Paid Social,Desktop,West,Zone-1,General Health,Bronze,2452,820.02,0.0
CUST-0246,Paid Social,iOS App,North,Zone-2,Weight Loss,Bronze,1588,1480.44,0.0
CUST-0247,Organic,iOS App,East,Zone-8,Muscle Gain,Bronze,1915,2106.74,0.0
CUST-0248,Paid Social,iOS App,West,Zone-2,Weight Loss,Bronze,1274,786.37,0.0
CUST-0249,Organic,Android App,West,Zone-8,Endurance,Bronze,4489,1908.29,0.0
CUST-0250,Influencer,Android App,North,Zone-5,Muscle Gain,Bronze,4420,1396.83,13.0
CUST-0251,Search,Mobile Web,East,Zone-9,Weight Loss,Bronze,1892,404.04,0.0
CUST-0252,Organic,Android App,West,Zone-2,Weight Loss,Bronze,2106,1032.16,15.0
CUST-0253,Influencer,Android App,East,Zone-5,Weight Loss,Bronze,851,341.33,33.0
CUST-0254,Paid Social,iOS App,North,Zone-2,General Health,Silver,1065,576.55,0.0
CUST-0255,Organic,iOS App,South,Zone-3,General Health,Silver,1097,1306.9,0.0
CUST-0256,Paid Social,iOS App,South,Zone-6,Endurance,Silver,4809,1926.68,0.0
CUST-0257,Paid Social,Mobile Web,South,Zone-7,Muscle Gain,Silver,203,1470.1,0.0
CUST-0258,Paid Social,Android App,East,Zone-1,Endurance,Gold,3906,677.6,27.0
CUST-0259,Organic,Android App,West,Zone-9,Weight Loss,Bronze,804,722.99,0.0
CUST-0260,Paid Social,Android App,South,Zone-1,Weight Loss,Bronze,4407,856.92,0.0
CUST-0261,Organic,iOS App,South,Zone-6,Weight Loss,Silver,2448,1205.64,0.0
CUST-0262,Paid Social,Desktop,East,Zone-2,General Health,Bronze,1736,914.08,0.0
CUST-0263,Influencer,iOS App,North,Zone-5,Endurance,Gold,3406,436.65,12.0
CUST-0264,Organic,Desktop,North,Zone-7,General Health,Silver,461,962.96,33.0
CUST-0265,Search,Desktop,East,Zone-4,General Health,Silver,1347,2260.01,0.0
CUST-0266,Organic,iOS App,South,Zone-6,Muscle Gain,Bronze,3440,671.65,0.0
CUST-0267,Organic,Android App,South,Zone-1,Endurance,Bronze,4044,1981.32,6.0
CUST-0268,Organic,iOS App,North,Zone-6,Muscle Gain,Bronze,1029,995.39,0.0
CUST-0269,Search,iOS App,East,Zone-2,General Health,Silver,2387,779.38,0.0
CUST-0270,Organic,Desktop,West,Zone-9,Endurance,Gold,1861,2254.74,0.0
CUST-0271,Influencer,Desktop,South,Zone-3,Weight Loss,Bronze,1134,571.85,32.0
CUST-0272,Organic,Android App,North,Zone-4,Endurance,Bronze,2985,1355.45,0.0
CUST-0273,Paid Social,Desktop,South,Zone-2,Muscle Gain,Bronze,3171,1178.55,0.0
CUST-0274,Paid Social,Desktop,South,Zone-1,Muscle Gain,Silver,3380,712.87,12.0
CUST-0275,Paid Social,Mobile Web,North,Zone-9,Endurance,Bronze,3691,1065.49,9.0
CUST-0276,Search,iOS App,West,Zone-3,Endurance,Silver,3305,1942.25,9.0
CUST-0277,Organic,Mobile Web,East,Zone-5,Muscle Gain,Bronze,2427,855.0,0.0
CUST-0278,Paid Social,iOS App,South,Zone-2,Muscle Gain,Silver,1375,791.92,9.0
CUST-0279,Organic,Android App,South,Zone-6,Endurance,Silver,3725,673.88,0.0
CUST-0280,Influencer,Desktop,West,Zone-9,Endurance,Bronze,4731,644.18,33.0
CUST-0281,Organic,Android App,East,Zone-8,Muscle Gain,Gold,3582,2105.62,0.0
CUST-0282,Paid Social,Mobile Web,North,Zone-8,Weight Loss,Bronze,1475,779.08,0.0
CUST-0283,Search,Desktop,West,Zone-4,Endurance,Bronze,3380,1083.32,0.0
CUST-0284,Paid Social,iOS App,West,Zone-4,Weight Loss,Gold,3612,1808.37,0.0
CUST-0285,Paid Social,Android App,South,Zone-1,Muscle Gain,Silver,1721,1347.71,12.0
CUST-0286,Search,Desktop,North,Zone-4,Weight Loss,Silver,1055,945.6,11.0
CUST-0287,Paid Social,Android App,South,Zone-7,General Health,Silver,2505,690.93,9.0
CUST-0288,Organic,Android App,South,Zone-4,General Health,Silver,4577,918.9,20.0
CUST-0289,Paid Social,Android App,South,Zone-2,General Health,Bronze,2494,356.76,30.0
CUST-0290,Organic,iOS App,East,Zone-3,Weight Loss,Bronze,2476,1186.28,9.0
CUST-0291,Search,Desktop,North,Zone-2,Weight Loss,Silver,2030,1140.58,0.0
CUST-0292,Influencer,Android App,North,Zone-7,Endurance,Bronze,1981,384.84,50.0
CUST-0293,Organic,iOS App,South,Zone-9,General Health,Bronze,1486,303.26,0.0
CUST-0294,Paid Social,Android App,South,Zone-3,Weight Loss,Gold,956,701.01,0.0
CUST-0295,Organic,iOS App,East,Zone-9,Muscle Gain,Bronze,806,1596.61,0.0
CUST-0296,Paid Social,Android App,South,Zone-4,Endurance,Bronze,3639,1390.89,8.0
CUST-0297,Organic,Android App,South,Zone-5,General Health,Silver,4507,847.92,9.0
CUST-0298,Paid Social,Mobile Web,West,Zone-8,Endurance,Bronze,4596,608.85,0.0
